symbol,1D,5D,1M,3M,6M,ytd,1Y,3Y,5Y,10Y,max
CPRT,1.279,1.58946,1.55487,13.42375,29.88823,45.59063,38.69643,80.33051,202.50169,1001.29231,29267.74668
CRWD,0.319,-6.52765,4.80389,23.29114,31.74797,46.17545,-20.34086,48.37346,160.2931,160.2931,160.2931
CSCO,0.722,1.20275,3.96156,14.61622,10.80686,10.57572,17.74767,11.76471,21.63837,102.94793,68515.14167
CSGP,0.172,-1.74699,-6.02673,9.31635,4.746,5.02254,11.91162,-1.79668,94.16667,402.12425,8776.19048
CSX,0.8249,-3.9589,-4.56456,-0.25109856,-1.57944,2.91451,-3.1688,30.7281,31.34022,275.20661,8023.63882
CTAS,0.8774,-0.71891881,2.94644,6.00811,11.58282,10.11158,16.16033,59.4755,134.05293,915.80029,51865.07422
CTSH,0.4648,9.00061,9.16743,12.70343,5.64277,23.85831,3.6472,5.70539,-8.63328,93.28004,34138.45478
DDOG,-1.1439,-4.928,8.44726,38.82722,32.34562,47.45457,-5.91255,41.20616,183.08921,183.08921,183.08921
DLTR,-0.273,-1.91842,4.36115,-3.64701,-0.37906497,6.80165,-9.91641,55.24925,61.28338,177.92208,12717.39744
DXCM,0.5319,0.11586527,-4.53003,0.12415163,10.47489,5.43886,32.3523,9.79805,287.84867,2101.45587,4021.63543
EA,1.191,-4.57692,-3.98607,-1.09233,8.64425,1.01792,-5.34147,-13.84818,-3.16159,370.95672,23958.18182
EBAY,1.8583,1.5987,-0.92634433,-3.90094,-12.59717,4.03321,-7.8975,-20.57598,29.81054,96.54335,5178.10243
ENPH,-3.25,-6.58621,-18.48709,-15.15816,-40.71172,-46.52797,-52.92625,85.95552,2207.49574,2157.5,1745.36785
EXC,0.1253,-2.91474,-2.41699,-6.72112,-2.08231,-7.3911,-11.13828,2.67146,-6.54664,29.60441,400.89778
FANG,0.0135,0.74581328,12.2281,11.89006,3.50376,13.09941,20.66753,253.7015,10.27906,251.77557,749.08571
FAST,2.0506,-1.41258,-1.10593,4.70179,7.01197,20.7384,6.63313,18.12178,99.79054,139.70681,90524.05979
FTNT,1.6382,-25.29777,-22.73701,-10.66729,7.28896,18.92003,8.21455,120.22901,294.88092,1297.77132,3371.72082
GEHC,-0.4084,-2.23745,-5.06154,-4.30434,5.52841,34.98214,25.98333,25.98333,25.98333,25.98333,25.98333
GFS,0.6466,-3.36546,-5.42053,-0.43763676,-6.11111,14.41006,-0.06757898,27.47845,27.47845,27.47845,27.47845
GILD,2.5292,6.14474,8.39828,1.15361,-6.25218,-5.52758,30.95779,16.323,2.92166,33.95882,12647.90221
GOOG,2.6451,1.61738,9.82187,24.21974,22.12144,47.0903,11.68106,76.5686,112.42614,494.92997,5180.97983
GOOGL,2.6696,1.6068,10.08537,24.59032,22.19435,47.58752,12.13129,75.56411,109.46936,490.12389,5138.12918
HON,0.2061,-2.21764,-6.72046,-4.44512,-7.72376,-11.5259,-2.25293,22.23583,21.25863,126.6587,2181.58076
IDXX,0.8451,-3.7016,2.07426,4.06354,0.13000315,25.20381,24.89926,33.15696,107.04627,950.61486,53674.78147
ILMN,-0.2398,-0.21319689,2.12743,-6.23059,-13.21962,-6.79544,-16.03731,-47.35984,-44.47147,138.345,855.88988
INTC,0.2561,0.22759602,10.61224,13.68183,21.27367,31.79948,-0.42396834,-26.65001,-29.11469,55.19824,10722.68371
INTU,1.6661,0.6955378,12.73344,18.61956,18.14249,29.16305,8.24835,63.28733,141.19725,687.99127,18966.41509
ISRG,-0.0226,-3.54035,-6.6558,1.43007,22.20027,16.41757,29.31878,35.26571,79.13114,613.74003,15150.19011
JD,-0.4605,-0.25634453,8.80872,8.44482,-31.84446,-32.4948,-33.87152,-37.30261,6.60274,86.17225,86.17225
KDP,0.6548,-0.99531616,6.48615,1.7755,-3.92045,-4.86639,-12.7901,14.14107,41.7435,-28.37781,884.35167
KHC,-0.7936,-1.54712,-1.29724,-15.29526,-11.48204,-14.17361,-7.38291,-1.15787,-42.92237,-52.02851,-52.02851
KLAC,2.0082,0.36464526,11.10282,31.31774,21.49797,34.49476,30.63351,149.66231,328.60528,767.04331,43700.21622
LCID,-3.1722,-9.07801,-13.95973,-17.07633,-44.5981,3.88979,-65.75855,-35.18706,-35.18706,-35.18706,-35.18706
LRCX,2.158,0.0226886,14.15994,33.14709,32.27815,70.25344,38.43074,89.38889,279.40939,1354.05071,31672.97297
LULU,1.137,1.33524,5.15753,-1.08867,19.86838,18.2819,20.95244,11.80288,204.58672,428.53392,2632.14286
MAR,0.8474,0.34313725,10.25531,15.93136,16.69137,38.54484,29.33594,118.27682,64.51017,399.63388,5650
MCHP,1.6175,-8.31351,-2.08959,12.80926,-1.97642,22.73517,19.61918,71.38527,74.39852,313.60644,25877.48679
MDLZ,0.46,0.20240184,3.13889,-4.25477,14.10572,12.09057,16.14013,33.56115,72.93898,137.55598,137.632
MELI,4.8335,14.71107,17.7662,9.26511,15.76064,64.48294,32.6639,13.80604,291.1145,998.56092,4718.47518
META,1.8762,-0.45283019,8.95949,35.99106,65.20196,153.77585,85.93833,17.92579,72.22132,714.407,728.04081
MNST,6.1332,1.73943,4.68946,-2.04321,14.10456,15.45598,30.79159,40.60096,95.61873,461.86359,71772.69599
MRNA,-6.4609,-10.12433,-14.86498,-26.15295,-40.83947,-43.46053,-44.68132,36.5722,444.08602,444.08602,444.08602
MRVL,1.3718,-2.08012,7.43872,55.1135,35.84865,76.57683,14.31912,76.13636,186.64862,394.16796,345.96491
MSFT,0.7108,-1.05506,-2.10842,6.26428,23.37793,37.78696,17.76184,55.3605,203.18699,929.56679,339442.49038
MU,-0.7581,-0.53046595,14.39406,13.31047,11.66908,37.74072,12.9048,42.31795,30.80694,402.38957,4820.56738
NFLX,2.1223,1.27059,0.60716731,36.55967,21.43821,49.4355,88.7704,-10.90898,25.27641,1138.0412,36739.67863
NVDA,1.6484,-0.90440968,6.85481,58.356,104.82794,217.26511,155.24926,305.52257,607.00915,12342.87671,110629.81987
NXPI,2.3538,-0.6134133,7.18906,31.11737,13.19085,41.07062,21.54368,81.20288,127.91497,520.15878,1462.35714
ODFL,0.5527,0.45890697,10.65578,29.14787,11.93875,44.89594,33.38112,120.10969,318.9682,1285.78199,35768.21568
ON,1.2511,-3.08729,11.02894,27.54248,21.1154,68.13829,53.8313,397.07294,362.249,1281.2,331.625
ORLY,0.6296,0.05046763,-0.29000396,-0.95877889,16.32169,10.82881,30.81556,100.30096,195.16901,642.73416,38622.49351
PANW,-1.4108,-13.57559,-13.06596,17.02278,34.77771,55.46407,28.86825,147.16564,204.0113,1243.57054,1115.35855
PAYX,1.6912,0.43363045,10.25212,15.98813,6.10842,7.99586,-4.45378,70.2791,75.68479,210.11654,60001.49064
PCAR,0.882,-1.93489,2.83076,16.32765,15.11465,28.98507,38.61775,43.29563,94.78383,127.93557,10045.40874
PDD,-2.1938,-2.24963,22.28571,35.74374,-9.37004,1.26582,79.56786,-2.94785,309.76544,220.59925,220.59925
PEP,1.2405,0.16078032,2.08106,-3.79884,8.93565,4.16922,7.50072,36.67544,63.62283,120.49316,11567.12031
PYPL,2.6614,-13.3907,-3.54844,-14.0723,-22.60002,-13.62296,-33.07708,-67.56784,-25.35342,75.48352,75.48352
QCOM,-1.7778,-8.34101,2.93255,9.70767,-12.65461,11.32463,-19.26121,10.2448,82.36553,83.00874,21116
REGN,1.0829,4.59283,11.88389,1.65857,0.6234252,7.53258,22.85175,24.91575,97.93061,205.94321,3567.40828
ROST,0.7727,0.46931728,5.58347,8.63654,-0.89964189,-2.0461,32.9973,26.85599,25.02479,239.29426,20354.74213
SBUX,1.0528,1.23383,5.924,-5.10214,-4.76012,0.90250917,18.68875,34.23935,95.39082,181.86729,30185.35027
SGEN,0.0956,0.54517134,1.11744,-3.11202,40.89785,50.4662,8.59081,20.6918,165.41941,360.74233,2178.23529
SIRI,0.0874,-4.37376,8.08989,28.95442,-4.94071,-16.92573,-27.66917,-19.56522,-29.88338,27.08058,4
SNPS,0.5845,-1.27849,2.94697,19.49618,21.06339,38.88889,19.33238,123.35128,379.22288,1091.30668,5538.09524
TEAM,-2.6755,9.51276,14.20478,42.57718,6.8227,52.98024,-30.7249,13.21594,154.6986,821.52381,821.52381
TMUS,1.523,-0.47341588,-1.66943,-4.81332,-4.43388,-1.71893,-5.48485,18.73317,109.16884,469.13786,271.62685
TSLA,-0.9493,-1.61208,-8.37372,47.85958,27.76282,132.6087,-13.41948,159.63553,893.68892,2709.90535,15687.65618
TXN,0.3087,-4.13617,-2.72884,1.89362,-7.91869,3.52307,-7.57112,26.50494,45.95715,326.12863,9838.82353
VRSK,1.6408,3.15841,3.80495,10.74071,31.29252,31.6849,17.33407,22.16468,101.02436,268.57639,757.93534
VRTX,1.4215,-1.33714,2.1113,-0.79577121,11.92066,20.73282,17.47576,26.49548,94.53552,342.43434,7573.77778
WBA,0.067,1.84049,2.68041,-7.11843,-18.67175,-19.65582,-24.31611,-28.03468,-55.43624,-39.86718,14197.74528
WBD,3.5791,13.98188,15.39075,12.25756,-5.60992,51.67715,3.2097,-31.02955,-43.36595,-65.8599,-12.30303
WDAY,1.4905,-1.04652,6.77548,28.69187,21.79922,37.90965,40.01799,31.59971,75.9322,221.38434,353.49515
XEL,-1.0432,-4.81045,-5.03734,-14.10091,-13.24042,-14.71386,-19.13396,-17.3901,26.61017,100.87395,724.27586
ZM,-0.5792,-3.99888,4.55307,8.29653,-18.89913,3.0003,-40.16036,-73.46268,10.74194,10.74194,10.74194
ZS,-0.561,-8.59119,1.50859,62.46367,5.27307,31.89945,-13.56527,15.48669,290.1745,340.42424,340.42424
