symbol,name,headQuarter,dateFirstAdded,cik,founded
KDP,Keurig Dr Pepper,"Burlington, MA",,0001418135,1981-01-01
KHC,Kraft Heinz,"Pittsburgh, PA",,0001637459,2015-07-02
KLAC,KLA Corporation,"Milpitas, CA",,0000319201,1997-01-01
LCID,Lucid Motors,"Newark, CA",,0001811210,2007-01-01
LRCX,Lam Research,"Fremont, CA",,0000707549,1980-01-01
LULU,Lululemon,"Vancouver, BC",,0001397187,1998-01-01
MAR,Marriott International,"Bethesda, MD",,0001048286,1927-03-05
MCHP,Microchip Technology,"Chandler, AZ",,0000827054,1989-01-01
MDLZ,Mondelēz International,"Chicago, IL",,0001103982,1923-12-10
MELI,MercadoLibre,"Montevideo, ",,0001099590,1999-08-02
META,Meta Platforms,"Menlo Park, CA",,0001326801,2004-01-04
MNST,Monster Beverage,"Corona, CA",,0000865752,1935-01-01
MRNA,Moderna,"Cambridge, MA",,0001682852,2010-09-01
MRVL,Marvell Technology,"Wilmington, DE",,0001835632,1995-01-01
MSFT,Microsoft,"Redmond, WA",,0000789019,1975-04-04
MU,Micron Technology,"Boise, ID",,0000723125,1978-10-05
NFLX,Netflix,"Los Gatos, CA",,0001065280,1997-09-29
NVDA,Nvidia,"Santa Clara, CA",,0001045810,1993-04-05
NXPI,NXP,"Eindhoven, ",,0001413447,2006-01-01
ODFL,Old Dominion Freight Line,"Thomasville, NC",,0000878927,1934-01-01
ON,Onsemi,"Phoenix, AZ",,0001097864,1999-01-01
ORLY,O'Reilly Automotive,"Springfield, MO",,0000898173,1957-12-02
PANW,Palo Alto Networks,"Santa Clara, CA",,0001327567,2005-01-01
PAYX,Paychex,"Rochester, NY",,0000723531,1971-01-01
PCAR,Paccar,"Bellevue, WA",,0000075362,1905-01-01
PDD,PDD Holdings,"Shanghai, ",,0001737806,2015-01-01
PEP,PepsiCo,"Purchase, NY",,0000077476,1898-08-28
PYPL,PayPal,"San Jose, CA",,0001633917,1998-12-01
QCOM,Qualcomm,"San Diego, CA",,0000804328,1985-07-01
REGN,Regeneron,"Tarrytown, NY",,0000872589,1988-01-01
ROST,Ross Stores,"Dublin, CA",,0000745732,2050-01-19
SBUX,Starbucks,"Seattle, WA",,0000829224,1971-03-30
SGEN,Seagen,"Bothell, WA",,0001060736,1997-01-01
SIRI,Sirius XM,"New York, NY",,0000908937,2008-07-29
SNPS,Synopsys,"Mountain View, CA",,0000883241,1986-01-01
TEAM,Atlassian,"Sydney, NSW",,0001650372,2002-01-01
TMUS,T-Mobile US,"Bellevue, WA",,0001283699,2001-09-02
TSLA,"Tesla, Inc.","Austin, TX",,0001318605,2003-07-01
TXN,Texas Instruments,"Dallas, TX",,0000097476,1930-01-01
VRSK,Verisk,"Jersey City, NJ",,0001442145,1971-01-01
VRTX,Vertex Pharmaceuticals,"Boston, MA",,0000875320,1989-01-01
WBA,Walgreens Boots Alliance,"Deerfield, IL",,0001618921,2014-12-31
WBD,Warner Bros. Discovery,"New York, NY",,0001437107,2022-04-08
WDAY,"Workday, Inc.","Pleasanton, CA",,0001327811,2005-03-01
XEL,Xcel Energy,"Minneapolis, MN",,0000072903,1909-06-17
ZM,Zoom Video Communications,"San Jose, CA",,0001585521,2011-04-21
ZS,Zscaler,"San Jose, CA",,0001713683,2007-01-01
